,연도,선수,팀,구종,체인지업_구사%,체인지업_구속,체인지업_상하_무브먼트,체인지업_좌우_무브먼트,체인지업_분당_회전수,체인지업_좌우_릴리스포인트,체인지업_상하_릴리스포인트,체인지업_타구_속도,체인지업_상하_각도,체인지업_피안타율,체인지업_피장타율,체인지업_땅볼%,체인지업_라인드라이브%,체인지업_뜬공%,체인지업_팝플라이%,체인지업_강한_타구%
138,2021,원태인,삼성,체인지업,27.5,124.0,20.0,-18.8,1846.4,-40.0,172.7,123.7,15.9,0.198,0.304,42.5,26.4,16.0,15.1,7.5
139,2021,함덕주,LG,체인지업,26.9,124.6,10.8,22.3,1656.5,60.3,180.2,133.8,21.8,0.208,0.375,18.2,36.4,27.3,18.2,18.2
140,2021,윤대경,한화,체인지업,26.0,124.6,18.7,-16.3,1666.8,-60.6,175.5,127.0,22.1,0.226,0.345,19.6,37.3,27.5,15.7,9.8
141,2021,뷰캐넌,삼성,체인지업,24.9,129.3,21.2,-21.0,2067.0,-60.2,187.1,127.0,17.5,0.226,0.342,30.6,32.4,24.1,13.0,8.3
142,2021,엄상백,KT,체인지업,24.6,133.0,11.7,-26.3,2044.7,-82.6,137.8,127.3,21.9,0.172,0.25,29.3,34.1,17.1,19.5,9.8
143,2021,이의리,KIA,체인지업,24.0,131.3,24.6,25.2,2428.0,65.4,175.4,125.7,17.7,0.117,0.213,41.9,20.9,20.9,16.3,11.6
144,2021,브룩스,KIA,체인지업,23.5,134.9,4.0,-19.2,1407.9,-75.2,185.6,137.4,4.7,0.263,0.325,63.0,14.8,18.5,3.7,18.5
145,2021,최원태,키움,체인지업,23.3,129.1,21.7,-22.1,2122.5,-42.3,162.4,133.1,18.7,0.228,0.349,27.4,34.7,24.2,13.7,20.0
146,2021,윤중현,KIA,체인지업,23.2,124.5,-2.4,-24.2,1591.1,-98.5,134.0,132.6,14.4,0.277,0.422,36.1,37.7,19.7,6.6,18.0
147,2021,김이환,한화,체인지업,23.1,125.4,17.2,-16.8,1622.7,-54.1,183.0,134.5,18.7,0.261,0.304,27.8,38.9,22.2,11.1,16.7
148,2021,김정인,키움,체인지업,23.0,127.8,24.0,-23.5,2265.4,-32.3,168.4,126.8,24.1,0.194,0.194,22.7,36.4,22.7,18.2,9.1
